AccessionVersion	TaxSuperkingdom	TaxPhylum	TaxClass	TaxOrder	TaxFamily	TaxGenus	TaxSpecies	Topology	MOB_60	MPF	PFinder_80	CARD_80	Filtered	Size	PTU_Curated	HRange_Curated	CComp	BlockCC_old	BlockCC4_old	sHSBM_old	PTU_sHSBM_old	BlockCC	BlockCC4	sHSBM	PTU_sHSBM	HRange
NC_006130.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes	circular	-	-	-	-	No	3351	-	-	0	-	-	-	-	0_5_1_6_5_25_5_81_271_0	-	-	-	-
NC_004464.2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	circular	MOBP	typeI	IncL/M	AAC(3)-IId;AAC(6')-Ib7;CTX-M-3;TEM-181;TEM-181;aadA2;armA;dfrA12;mphE;msrE;qacEdelta1;sul1	No	89468	PTU-L/M	IV	1	1_0_5_5_6_17_11_47_3_116_459_0	1_0_5_5_6_17_11_47_3_116_459_0	1_0_5_5_6_17_11_47_3_116_459_0	PTU-L/M	0_4_6_5_7_10_24_20_840_0	0_4_6_5_7_10_24_20_840_0	0_4_6_5_7_10_24_20_840_0	PTU-L/M	IV
NC_006427.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	circular	-	-	-	-	No	2235	PTU-Lab31	IV	2	1_5_0_4_4_9_23_5_27_46_94_0	1_5_0_4_4_9_23_5_27_46_94_0	1_5_0_4_4_9_23_5_27_46_94_0	PTU-Lab31	0_5_1_11_11_23_30_5_181_0	0_5_1_11_11_23_30_5_181_0	0_5_1_11_11_23_30_5_181_0	PTU-Lab31	IV
NC_001370.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	linear	-	-	-	-	No	2140	PTU-Lab11	IV	3	1_5_6_3_10_0_12_2_59_43_2_0	1_5_6_3_10_0_12_2_59_43_2_0	1_5_6_3_10_0_12_2_59_43_2_0	PTU-Lab11	0_4_5_3_16_24_7_183_451_0	0_4_5_3_16_24_7_183_451_0	0_4_5_3_16_24_7_183_451_0	PTU-Lab11	IV
NC_002810.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	circular	MOBC	-	-	-	No	5658	PTU-Lab3	I	4	1_0_5_9_7_3_9_37_50_117_328_0	1_0_5_9_7_3_9_37_50_117_328_0	1_0_5_9_7_3_9_37_50_117_328_0	PTU-Lab3	0_5_1_11_11_23_30_187_726_0	0_5_1_11_11_23_30_187_726_0	0_5_1_11_11_23_30_187_726_0	PTU-Lab3	I
NC_004965.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti	circular	MOBV	-	-	-	No	7212	-	-	5	-	-	-	-	0_4_5_9_4_18_70_61_236_0	-	-	-	-
NC_000906.2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	circular	-	-	-	-	No	8506	-	-	6	1_5_0_4_4_9_23_5_27_159_36_0	1_5_0_4_4_9_23_5_27_159_36_0	1_5_0_4_4_9_23_5_27_159_36_0	PTU-36_0	0_5_1_6_5_25_8_17_173_0	0_5_1_6_5_25_8_17_173_0	0_5_1_6_5_25_8_17_173_0	PTU-Lab39	IV
NC_005010.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	circular	MOBP	-	rep11	-	No	9328	-	-	7	-	-	-	-	0_4_5_9_15_12_9_136_447_0	-	-	-	-
NC_004562.1	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	circular	-	-	rep21	-	No	2650	PTU-Bac16	III	1	1_5_6_10_5_12_0_39_44_10_366_0	1_5_6_10_5_12_0_39_44_10_366_0	1_5_6_10_5_12_0_39_44_10_224_0	PTU-Bac16	0_4_5_9_4_18_49_52_199_0	0_4_5_9_4_18_49_52_199_0	0_4_5_9_4_18_49_51_83_0	PTU-Bac16	III
NC_002637.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	Mannheimia haemolytica	circular	MOBP	-	-	APH(3'')-Ib;APH(6)-Id;catIII;sul2	No	4992	-	-	1	1_5_6_10_3_16_25_27_45_144_321_0	1_5_6_10_3_16_25_27_45_144_321_0	1_5_6_10_3_16_25_27_45_144_321_0	PTU-Pas1_1	0_4_5_9_4_18_70_10_10_0	0_4_5_9_4_18_70_10_10_0	0_4_5_9_4_18_70_10_10_0	PTU-Pas3	III
